date,year1,year2
1,811276,145696
2,934717,137530
3,718078,111043
4,601593,108308
5,786616,114243
6,763354,93308
7,798619,86260
8,777973,82312
9,756047,90258
10,598320,99042
11,513795,97370
12,712837,94327
13,774430,102849
14,810382,94065
15,814376,114641
16,859268,93561
17,803517,102714
18,568923,107846
19,723336,90496
20,757687,107214
21,794772,109678
22,954658,62818
23,1151549,83435
24,941789,105489
25,633063,110787
26,757644,113414
27,771824,109177
28,673163,128280
29,772315,134195
30,935423,92819
31,733239,105098
