data_year,data_date,dailyTotal
2019,1/08/2019,811276
2020,1/08/2020,145696
2019,10/08/2019,598320
2020,10/08/2020,99042
2019,11/08/2019,513795
2020,11/08/2020,97370
2019,12/08/2019,712837
2020,12/08/2020,94327
2019,13/08/2019,774430
2020,13/08/2020,102849
2019,14/08/2019,810382
2020,14/08/2020,94065
2019,15/08/2019,814376
2020,15/08/2020,114641
2019,16/08/2019,859268
2020,16/08/2020,93561
2019,17/08/2019,803517
2020,17/08/2020,102714
2019,18/08/2019,568923
2020,18/08/2020,107846
2019,19/08/2019,723336
2020,19/08/2020,90496
2019,2/08/2019,934717
2020,2/08/2020,137530
2019,20/08/2019,757687
2020,20/08/2020,107214
2019,21/08/2019,794772
2020,21/08/2020,109678
2019,22/08/2019,954658
2020,22/08/2020,62818
2019,23/08/2019,1151549
2020,23/08/2020,83435
2019,24/08/2019,941789
2020,24/08/2020,105489
2019,25/08/2019,633063
2020,25/08/2020,110787
2019,26/08/2019,757644
2020,26/08/2020,113414
2019,27/08/2019,771824
2020,27/08/2020,109177
2019,28/08/2019,673163
2020,28/08/2020,128280
2019,29/08/2019,772315
2020,29/08/2020,134195
2019,3/08/2019,718078
2020,3/08/2020,111043
2019,30/08/2019,935423
2020,30/08/2020,92819
2019,31/08/2019,733239
2020,31/08/2020,105098
2019,4/08/2019,601593
2020,4/08/2020,108308
2019,5/08/2019,786616
2020,5/08/2020,114243
2019,6/08/2019,763354
2020,6/08/2020,93308
2019,7/08/2019,798619
2020,7/08/2020,86260
2019,8/08/2019,777973
2020,8/08/2020,82312
2019,9/08/2019,756047
2020,9/08/2020,90258
